epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,32.364,0.363,0.34589,0.87425,0.96144,0.92749,0.97308,0.95145,0.2561,0.32111,0.80553,0.000869024,0.000869024,0.000869024
13,34.7673,0.34975,0.34118,0.85358,0.97437,0.92989,0.98202,0.96986,0.21255,0.25859,0.80003,0.000847026,0.000847026,0.000847026
14,37.147,0.33343,0.32464,0.86653,0.96904,0.95303,0.9792,0.96641,0.21904,0.24741,0.80022,0.000825029,0.000825029,0.000825029
15,39.479,0.31624,0.31324,0.85635,0.8978,0.92685,0.96152,0.95203,0.20652,0.37683,0.79699,0.000803031,0.000803031,0.000803031
16,41.8178,0.30469,0.29867,0.84236,0.96523,0.94642,0.97931,0.96495,0.22138,0.25215,0.79576,0.000781033,0.000781033,0.000781033
17,44.3495,0.30916,0.30422,0.85529,0.98377,0.94256,0.98531,0.97124,0.20662,0.23306,0.80771,0.000759035,0.000759035,0.000759035
18,46.7465,0.31051,0.27765,0.85862,0.95032,0.96265,0.98941,0.97961,0.1855,0.23184,0.79447,0.000737037,0.000737037,0.000737037
19,49.1452,0.30712,0.2985,0.85673,0.97413,0.94497,0.9848,0.97519,0.19801,0.23191,0.79853,0.00071504,0.00071504,0.00071504
20,51.4689,0.29194,0.29027,0.85482,0.97412,0.94722,0.9863,0.97905,0.17745,0.21248,0.7931,0.000693042,0.000693042,0.000693042
21,53.7824,0.29762,0.29187,0.85935,0.96078,0.95218,0.98575,0.97833,0.16972,0.2086,0.79151,0.000671044,0.000671044,0.000671044
22,56.5079,0.27843,0.27441,0.8398,0.98193,0.94391,0.98354,0.97361,0.1805,0.2174,0.79367,0.000649046,0.000649046,0.000649046
23,58.8453,0.28435,0.27421,0.84156,0.98281,0.93856,0.98671,0.97864,0.16099,0.21259,0.78967,0.000627048,0.000627048,0.000627048
24,61.1655,0.27414,0.26823,0.84079,0.98626,0.93907,0.98052,0.97189,0.18521,0.20536,0.79114,0.000605051,0.000605051,0.000605051
25,63.4936,0.26974,0.25888,0.83935,0.9686,0.94562,0.98735,0.97996,0.16196,0.2144,0.79058,0.000583053,0.000583053,0.000583053
26,66.1024,0.28177,0.26228,0.84888,0.97718,0.95307,0.98979,0.98401,0.15044,0.19209,0.78902,0.000561055,0.000561055,0.000561055
27,68.5022,0.26671,0.24389,0.84691,0.9554,0.96243,0.98828,0.9823,0.15943,0.21441,0.7892,0.000539057,0.000539057,0.000539057
28,70.8281,0.26129,0.24147,0.83637,0.96696,0.94753,0.98583,0.97979,0.14981,0.20956,0.78784,0.000517059,0.000517059,0.000517059
29,73.1411,0.26119,0.26259,0.83914,0.98016,0.9573,0.9875,0.98288,0.15848,0.18373,0.78889,0.000495062,0.000495062,0.000495062
30,75.4689,0.25283,0.23858,0.83921,0.97115,0.97144,0.99049,0.98404,0.14264,0.17418,0.78759,0.000473064,0.000473064,0.000473064
31,77.8661,0.23946,0.22813,0.83836,0.96766,0.97434,0.9902,0.98433,0.13378,0.16527,0.78653,0.000451066,0.000451066,0.000451066
32,80.2312,0.25406,0.25352,0.85464,0.9459,0.98596,0.99018,0.98204,0.14797,0.17327,0.788,0.000429068,0.000429068,0.000429068
33,82.554,0.2381,0.24117,0.8322,0.97714,0.94586,0.98323,0.97836,0.14551,0.18522,0.78928,0.00040707,0.00040707,0.00040707
34,85.1214,0.25009,0.23953,0.84493,0.99101,0.93499,0.98669,0.98169,0.13405,0.16818,0.78784,0.000385073,0.000385073,0.000385073
35,87.4706,0.23466,0.22642,0.83453,0.96187,0.97679,0.99104,0.98438,0.13529,0.16467,0.78626,0.000363075,0.000363075,0.000363075
36,89.8615,0.2277,0.23255,0.83095,0.95048,0.98492,0.99221,0.98712,0.1263,0.16026,0.78464,0.000341077,0.000341077,0.000341077
37,92.252,0.22377,0.21982,0.82573,0.96221,0.99011,0.99094,0.98532,0.1272,0.16395,0.78485,0.000319079,0.000319079,0.000319079
38,94.5679,0.22863,0.20906,0.84,0.97235,0.98044,0.99301,0.98627,0.11718,0.15615,0.78433,0.000297081,0.000297081,0.000297081
39,96.892,0.22379,0.20926,0.83619,0.96066,0.98885,0.99099,0.98476,0.11545,0.16039,0.78384,0.000275084,0.000275084,0.000275084
40,99.198,0.22061,0.19435,0.84029,0.96615,0.98466,0.99135,0.98646,0.1184,0.15791,0.78456,0.000253086,0.000253086,0.000253086
41,114.483,0.17007,0.16399,0.77916,0.95935,0.98962,0.99274,0.98825,0.12565,0.15301,0.78487,0.000231088,0.000231088,0.000231088
42,117.159,0.15805,0.16234,0.78178,0.95754,0.98834,0.99195,0.98722,0.113,0.1504,0.78186,0.00020909,0.00020909,0.00020909
43,119.694,0.15608,0.16356,0.78255,0.96659,0.98542,0.99292,0.98707,0.12228,0.15098,0.78401,0.000187092,0.000187092,0.000187092
44,122.002,0.14906,0.14562,0.78369,0.97266,0.98196,0.9928,0.98751,0.11171,0.13791,0.7837,0.000165095,0.000165095,0.000165095
45,124.324,0.15859,0.15909,0.78545,0.97046,0.98768,0.99129,0.98461,0.11747,0.14921,0.78439,0.000143097,0.000143097,0.000143097
46,126.627,0.14576,0.1503,0.77433,0.96187,0.99311,0.99269,0.98637,0.11006,0.13105,0.78272,0.000121099,0.000121099,0.000121099
47,128.942,0.14211,0.14547,0.78093,0.9491,0.99404,0.99214,0.98643,0.10879,0.13817,0.78245,9.91012e-05,9.91012e-05,9.91012e-05
48,131.468,0.14167,0.14474,0.77665,0.95958,0.99452,0.99299,0.98749,0.10117,0.12918,0.78197,7.71034e-05,7.71034e-05,7.71034e-05
49,134.021,0.13982,0.13963,0.78004,0.96072,0.99235,0.99246,0.98719,0.09722,0.13508,0.78179,5.51056e-05,5.51056e-05,5.51056e-05
50,136.673,0.13068,0.1325,0.78012,0.96228,0.98989,0.99256,0.98747,0.09544,0.1374,0.78146,3.31078e-05,3.31078e-05,3.31078e-05
1,5.48634,0.4497,1.45794,0.92015,0.82619,0.83594,0.92648,0.89249,0.30786,0.84132,0.81804,0.00026664,0.00026664,0.00026664
2,7.97608,0.40971,0.55654,0.87398,0.83217,0.74862,0.69693,0.64578,0.36822,1.46184,0.83078,0.000533611,0.000533611,0.000533611
3,10.3306,0.44843,0.56872,0.89632,0.85911,0.85426,0.91095,0.83091,0.39969,0.66473,0.86247,0.000789583,0.000789583,0.000789583
4,12.7142,0.43913,0.56151,0.88941,0.47906,0.5425,0.47316,0.38705,0.56258,2.9996,0.97401,0.00103456,0.00103456,0.00103456
5,15.0423,0.42561,0.66981,0.88981,0.82088,0.81516,0.91839,0.8341,0.44318,1.11525,0.88478,0.00102301,0.00102301,0.00102301
6,17.3601,0.43527,0.51324,0.8933,0.76632,0.70591,0.63405,0.58154,0.57239,2.64622,0.94989,0.00100101,0.00100101,0.00100101
7,19.7039,0.44236,0.49729,0.90421,0.92061,0.72379,0.8737,0.82117,0.37315,0.80641,0.84219,0.000979013,0.000979013,0.000979013
8,22.0331,0.38985,0.42522,0.87393,0.85294,0.9516,0.97498,0.94759,0.30654,0.55925,0.81579,0.000957015,0.000957015,0.000957015
9,24.4247,0.38153,0.42768,0.86362,0.94213,0.9431,0.96518,0.93516,0.3118,0.41863,0.81616,0.000935018,0.000935018,0.000935018
10,26.7837,0.39243,0.39564,0.87988,0.95462,0.95943,0.98214,0.95458,0.29294,0.3328,0.80866,0.00091302,0.00091302,0.00091302
11,29.1833,0.37117,0.35617,0.86404,0.96917,0.97453,0.98332,0.96219,0.25772,0.29231,0.79713,0.000891022,0.000891022,0.000891022
12,31.5588,0.36392,0.35375,0.86879,0.9734,0.95664,0.98651,0.97347,0.22881,0.24747,0.79267,0.000869024,0.000869024,0.000869024
13,33.9514,0.34661,0.33941,0.85423,0.97502,0.98227,0.99282,0.97561,0.24813,0.23185,0.79517,0.000847026,0.000847026,0.000847026
14,36.3338,0.32836,0.331,0.86095,0.82499,0.93251,0.96485,0.94905,0.24517,0.54857,0.79041,0.000825029,0.000825029,0.000825029
15,38.6815,0.3169,0.32194,0.85739,0.98168,0.95917,0.97828,0.96396,0.22987,0.26012,0.78936,0.000803031,0.000803031,0.000803031
16,41.0184,0.32067,0.3036,0.85259,0.98597,0.98009,0.99187,0.9806,0.21795,0.22939,0.7872,0.000781033,0.000781033,0.000781033
17,43.3835,0.32069,0.32833,0.86325,0.98638,0.97957,0.99218,0.98529,0.1912,0.20589,0.78441,0.000759035,0.000759035,0.000759035
18,45.7946,0.33315,0.31038,0.85366,0.96884,0.97464,0.9892,0.97581,0.22004,0.23443,0.78554,0.000737037,0.000737037,0.000737037
19,48.1337,0.337,0.31238,0.85992,0.96964,0.98459,0.99061,0.98478,0.19604,0.21749,0.7839,0.00071504,0.00071504,0.00071504
20,50.4491,0.30316,0.29036,0.85007,0.98491,0.98741,0.99068,0.98514,0.20128,0.2061,0.78622,0.000693042,0.000693042,0.000693042
21,52.7978,0.29418,0.27854,0.85601,0.97916,0.98024,0.98931,0.98428,0.16845,0.21335,0.77859,0.000671044,0.000671044,0.000671044
22,55.1176,0.28027,0.27465,0.8459,0.98173,0.98317,0.99407,0.98989,0.17833,0.19907,0.78028,0.000649046,0.000649046,0.000649046
23,57.4883,0.27255,0.25502,0.83608,0.97683,0.98247,0.99306,0.98718,0.179,0.19906,0.7791,0.000627048,0.000627048,0.000627048
24,59.8144,0.27375,0.26269,0.8428,0.98529,0.98942,0.9888,0.98267,0.1784,0.19834,0.78245,0.000605051,0.000605051,0.000605051
25,62.1575,0.26689,0.26711,0.83352,0.98859,0.98506,0.9879,0.98064,0.16976,0.19261,0.77831,0.000583053,0.000583053,0.000583053
26,64.4895,0.26722,0.25362,0.84411,0.9912,0.98579,0.98971,0.9825,0.1675,0.18238,0.7803,0.000561055,0.000561055,0.000561055
27,66.8495,0.26334,0.25311,0.84516,0.9859,0.98865,0.98922,0.98402,0.17033,0.18904,0.77902,0.000539057,0.000539057,0.000539057
28,69.1659,0.26163,0.24909,0.83895,0.98547,0.98354,0.98864,0.98428,0.1512,0.18668,0.77725,0.000517059,0.000517059,0.000517059
29,71.5101,0.25971,0.24812,0.84004,0.98447,0.98357,0.99045,0.98649,0.15571,0.179,0.77727,0.000495062,0.000495062,0.000495062
30,73.847,0.26205,0.24671,0.84164,0.97589,0.9884,0.9908,0.9878,0.15466,0.19503,0.77735,0.000473064,0.000473064,0.000473064
31,76.1584,0.24981,0.22981,0.84332,0.9836,0.98257,0.99137,0.98898,0.13667,0.17118,0.77508,0.000451066,0.000451066,0.000451066
32,78.4742,0.24632,0.24125,0.84299,0.98774,0.98381,0.99162,0.98762,0.14136,0.17308,0.77552,0.000429068,0.000429068,0.000429068
33,80.8213,0.23401,0.22399,0.8298,0.98328,0.97532,0.98977,0.98572,0.15,0.17514,0.77611,0.00040707,0.00040707,0.00040707
34,83.1406,0.23943,0.22469,0.83178,0.98597,0.98074,0.99062,0.98899,0.13303,0.16746,0.77402,0.000385073,0.000385073,0.000385073
35,85.4931,0.23927,0.22073,0.8381,0.98324,0.98108,0.99046,0.98827,0.13103,0.16195,0.77214,0.000363075,0.000363075,0.000363075
36,87.837,0.24165,0.23692,0.84271,0.97928,0.99379,0.9922,0.98939,0.13021,0.15099,0.77229,0.000341077,0.000341077,0.000341077
37,90.1692,0.22562,0.22652,0.82622,0.98914,0.98148,0.9917,0.98875,0.12318,0.14805,0.77237,0.000319079,0.000319079,0.000319079
38,92.512,0.22546,0.22136,0.84016,0.98003,0.97943,0.99061,0.98646,0.12308,0.15437,0.77275,0.000297081,0.000297081,0.000297081
39,94.8508,0.22904,0.22879,0.83682,0.97382,0.99399,0.99172,0.98811,0.13071,0.15564,0.77323,0.000275084,0.000275084,0.000275084
40,97.1644,0.22574,0.21188,0.8443,0.98916,0.98946,0.99249,0.98865,0.12232,0.14776,0.77191,0.000253086,0.000253086,0.000253086
41,111.897,0.16616,0.17559,0.78153,0.98554,0.9904,0.99275,0.98784,0.13108,0.14739,0.77221,0.000231088,0.000231088,0.000231088
42,114.198,0.15991,0.17173,0.78955,0.98425,0.99083,0.99238,0.9885,0.11944,0.14703,0.77037,0.00020909,0.00020909,0.00020909
43,116.541,0.14735,0.16366,0.76929,0.98999,0.98823,0.99252,0.98989,0.11803,0.14711,0.77026,0.000187092,0.000187092,0.000187092
44,118.879,0.14862,0.15634,0.7827,0.98896,0.98779,0.99265,0.98941,0.11368,0.14025,0.77006,0.000165095,0.000165095,0.000165095
45,121.184,0.14884,0.15608,0.78408,0.99102,0.98614,0.99249,0.98963,0.1096,0.14148,0.76958,0.000143097,0.000143097,0.000143097
46,123.544,0.14408,0.15214,0.78243,0.98829,0.98351,0.99175,0.98829,0.10605,0.14122,0.76944,0.000121099,0.000121099,0.000121099
47,125.867,0.14056,0.15038,0.77725,0.98225,0.9907,0.99165,0.98883,0.10357,0.13844,0.76921,9.91012e-05,9.91012e-05,9.91012e-05
